# Parameter sweep (sweep)
# Simulation    : dd
# Sweep variable: $bias
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A              real
# substrate.current        A              real
# --------------------------------------------------
#
# $bias anode.current substrate.current 
2.925 -1.08655e-14 1.08655e-14
2.9475 -1.71848e-14 1.71848e-14
2.97 -2.73021e-14 2.73021e-14
2.9925 -4.35002e-14 4.35002e-14
3.015 -6.93919e-14 6.93919e-14
3.0375 -1.10605e-13 1.10605e-13
3.06 -1.75806e-13 1.75806e-13
3.0825 -2.78419e-13 2.78419e-13
3.105 -4.39512e-13 4.39512e-13
3.1275 -6.92606e-13 6.92606e-13
3.15 -1.09252e-12 1.09252e-12
3.1725 -1.73121e-12 1.73121e-12
3.195 -2.7649e-12 2.76491e-12
3.2175 -4.46211e-12 4.46211e-12
3.24 -7.29172e-12 7.29172e-12
3.2625 -1.20883e-11 1.20883e-11
3.285 -2.03665e-11 2.03665e-11
3.3075 -3.49223e-11 3.49223e-11
3.33 -6.09836e-11 6.09836e-11
3.3525 -1.08385e-10 1.08385e-10
3.375 -1.95577e-10 1.95577e-10
3.3975 -3.56703e-10 3.56703e-10
3.42 -6.5317e-10 6.5317e-10
3.4425 -1.19023e-09 1.19023e-09
3.465 -2.13514e-09 2.13514e-09
3.4875 -3.72573e-09 3.72573e-09
3.51 -6.25172e-09 6.25172e-09
3.5325 -1.00013e-08 1.00013e-08
3.555 -1.51952e-08 1.51952e-08
3.5775 -2.19458e-08 2.19458e-08
3.6 -3.02583e-08 3.02583e-08
3.6225 -4.00575e-08 4.00575e-08
3.645 -5.12203e-08 5.12203e-08
3.6675 -6.36036e-08 6.36036e-08
3.69 -7.70627e-08 7.70627e-08
3.7125 -9.14632e-08 9.14632e-08
3.735 -1.06687e-07 1.06687e-07
3.7575 -1.22633e-07 1.22633e-07
3.78 -1.39218e-07 1.39218e-07
3.8025 -1.56371e-07 1.56371e-07
3.825 -1.74039e-07 1.74039e-07
3.8475 -1.92174e-07 1.92174e-07
3.87 -2.10741e-07 2.10741e-07
3.8925 -2.29709e-07 2.29709e-07
3.915 -2.49056e-07 2.49056e-07
3.9375 -2.68763e-07 2.68763e-07
3.96 -2.88814e-07 2.88814e-07
3.9825 -3.09199e-07 3.09199e-07
4.005 -3.29907e-07 3.29907e-07
4.0275 -3.50933e-07 3.50933e-07
4.05 -3.72271e-07 3.72271e-07
4.0725 -3.93917e-07 3.93917e-07
4.095 -4.1587e-07 4.1587e-07
4.1175 -4.38127e-07 4.38127e-07
4.14 -4.60688e-07 4.60688e-07
4.1625 -4.83554e-07 4.83554e-07
4.185 -5.06725e-07 5.06725e-07
4.2075 -5.30202e-07 5.30202e-07
4.23 -5.53987e-07 5.53987e-07
4.2525 -5.78082e-07 5.78082e-07
4.275 -6.02489e-07 6.02489e-07
4.2975 -6.27211e-07 6.27211e-07
4.32 -6.52249e-07 6.52249e-07
4.3425 -6.77607e-07 6.77607e-07
4.365 -7.03287e-07 7.03287e-07
4.3875 -7.29292e-07 7.29292e-07
4.41 -7.55626e-07 7.55626e-07
4.4325 -7.8229e-07 7.8229e-07
4.455 -8.09288e-07 8.09288e-07
4.4775 -8.36623e-07 8.36623e-07
4.5 -8.64298e-07 8.64298e-07
